,Hour,LAW_CAT_CD,count
0,0,VIOLATION,22045
1,1,VIOLATION,17086
2,2,VIOLATION,12864
3,3,VIOLATION,10058
4,4,VIOLATION,8550
5,5,VIOLATION,7496
6,6,VIOLATION,9622
7,7,VIOLATION,19111
8,8,VIOLATION,31562
9,9,VIOLATION,32995
10,10,VIOLATION,36224
11,11,VIOLATION,37845
12,12,VIOLATION,44194
13,13,VIOLATION,39981
14,14,VIOLATION,45872
15,15,VIOLATION,51221
16,16,VIOLATION,45036
17,17,VIOLATION,44390
18,18,VIOLATION,45401
19,19,VIOLATION,42928
20,20,VIOLATION,42437
21,21,VIOLATION,38289
22,22,VIOLATION,33015
23,23,VIOLATION,27410
